English	Sindarin Elvish - Lord of the Rings (Pronunciation)
Hello / Well met	Mae govannen (my goh-VAH-nen)
Goodbye / Farewell	Namárië (nah-MAH-ree-eh)
Thank you	Le hannon (leh HAH-nohn)
Yes	Mae (MY)
No	Ú (OO)
Good morning	Anar caluva tielyanna (AH-nahr kah-LOO-vah tee-EL-yah-nah)
Good night	Losto vae (LOH-stoh VY)
How are you?	Man le? (mahn LEH)
I'm fine	Im mae (eem MY)
Water	Nen (NEN)
Food	Aes (ICE)
Friend	Mellon (MEL-lon)
Family	Noss (NOHSS)
Love	Melmë (MEL-meh)
Home	Bâr (BAHR)
Star	Êl (ALE)
Light	Galad (GAH-lahd)
Forest	Taur (TOWR)
River	Sîr (SEER)
Moon	Ithil (EE-theel)
Sun	Anor (AH-nohr)
Help	Tiro (TEE-roh)
Sorry / Forgive me	Goheno nin (goh-HEH-noh NEEN)
Welcome	Mae tollen (my TOH-len)
Peace	Sérë (SEH-reh)
