English	Arabic (Pronunciation)
Hello	مرحبا - Marhaba (mar-HAH-bah)
Goodbye	مع السلامة - Ma'a salama (MAH-ah sah-LAH-mah)
Please	من فضلك - Min fadlak (meen FAHD-lahk)
Thank you	شكرا - Shukran (SHOOK-rahn)
Yes	نعم - Na'am (NAH-ahm)
No	لا - La (LAH)
Good morning	صباح الخير - Sabah al-khayr (sah-BAH ahl-KHAIR)
Good afternoon	مساء الخير - Masa' al-khayr (mah-SAH ahl-KHAIR)
Good night	تصبح على خير - Tusbih ala khayr (TOOS-bih AH-lah KHAIR)
How are you?	كيف حالك؟ - Kayf halak? (KAYF HAH-lahk)
I'm fine	أنا بخير - Ana bikhayr (AH-nah bee-KHAIR)
Water	ماء - Ma' (MAH)
Food	طعام - Ta'am (tah-AHM)
Friend	صديق - Sadiq (sah-DEEK)
Family	عائلة - A'ila (AH-ee-lah)
Love	حب - Hubb (HOOB)
House	بيت - Bayt (BAIT)
Work	عمل - Amal (AH-mahl)
Time	وقت - Waqt (WAHKT)
Today	اليوم - Al-yawm (ahl-YOHM)
Tomorrow	غدا - Ghadan (GAH-dahn)
Yesterday	أمس - Ams (AHMS)
Money	مال - Mal (MAHL)
Help	مساعدة - Musa'ada (moo-SAH-ah-dah)
Sorry	آسف - Asif (AH-sif)
Excuse me	عفوا - Afwan (AHF-wahn)
Welcome	أهلا وسهلا - Ahlan wa sahlan (AH-lahn wah SAH-lahn)
One	واحد - Wahid (WAH-heed)
Two	اثنان - Ithnan (EETH-nahn)
Three	ثلاثة - Thalatha (thah-LAH-thah)
Four	أربعة - Arba'a (ar-BAH-ah)
Five	خمسة - Khamsa (KAHM-sah)
Ten	عشرة - Ashara (AH-shah-rah)
Bathroom	حمام - Hammam (hahm-MAHM)
Restaurant	مطعم - Mat'am (MAHT-ahm)
Hotel	فندق - Funduq (foon-DOOK)
Airport	مطار - Matar (mah-TAHR)
Train	قطار - Qitar (kee-TAHR)
Bus	حافلة - Hafila (HAH-fee-lah)
Taxi	تاكسي - Taksi (TAHK-see)
Street	شارع - Shari' (SHAH-ree)
Left	يسار - Yasar (yah-SAHR)
Right	يمين - Yamin (yah-MEEN)
Straight	مباشرة - Mubashara (moo-BAH-shah-rah)
Big	كبير - Kabir (kah-BEER)
Small	صغير - Saghir (sah-GHEER)
Hot	حار - Har (HAHR)
Cold	بارد - Barid (BAH-rid)
Good	جيد - Jayyid (JAY-yid)
Bad	سيء - Sayyi' (SAY-yee)
