English	Thai (Pronunciation)
Where is the bathroom?	ห้องน้ำอยู่ที่ไหน - Hong nam yoo tee nai? (HOHNG nahm YOO tee NY)
How much does this cost?	อันนี้ราคาเท่าไหร่ - An nee raka thaorai? (ahn NEE rah-KAH tow-RY)
I don't understand	ไม่เข้าใจ - Mai khao jai (MY kow JY)
Can you help me?	ช่วยหน่อยได้ไหม - Chuay noi dai mai? (CHOO-ay NOY dy MY)
I would like...	อยากได้... - Yak dai... (YAHK dy)
The check please	เก็บเงินด้วย - Gep ngern duay (GEP ngern DOO-ay)
Do you speak English?	พูดภาษาอังกฤษได้ไหม - Phut phasa angkrit dai mai? (POOT pah-SAH ahng-GRIT dy MY)
I'm lost	หลงทาง - Long thang (LOHNG tahng)
What time is it?	กี่โมงแล้ว - Gee mong laew? (GEE mohng LAY-oh)
Nice to meet you	ยินดีที่ได้รู้จัก - Yin dee tee dai ru jak (yeen DEE tee dy ROO jahk)
I need a doctor	ต้องการหมอ - Tong kan moh (TOHNG gahn MOH)
Where is the train station?	สถานีรถไฟอยู่ที่ไหน - Sathani rot fai yoo tee nai? (sah-TAH-nee ROHT fy YOO tee NY)
Can I have the menu?	ขอเมนูหน่อย - Kho menu noi (KOH meh-NOO NOY)
I have a reservation	มีการจอง - Mee gan jong (MEE gahn JOHNG)
What do you recommend?	แนะนำอะไร - Nae nam arai? (NAE nahm ah-RY)
Is this seat taken?	ที่นี่ว่างไหม - Tee nee wang mai? (TEE nee WAHNG my)
I'm allergic to...	แพ้... - Phae... (PAE)
It was delicious	อร่อยมาก - Aroi mak (ah-ROY MAHK)
See you later	เจอกันใหม่ - Jeu gan mai (JEU gahn MY)
Have a nice day	ขอให้เป็นวันดีๆ - Kho hai pen wan dee dee (KOH hy pen WAHN dee dee)
I'm just looking	แค่ดูเฉยๆ - Khae du cheuy cheuy (KAE doo CHEUY cheuy)
Could you repeat that?	พูดอีกทีได้ไหม - Phut eek tee dai mai? (POOT eek TEE dy MY)
I'm here on vacation	มาเที่ยว - Ma thiaw (MAH tee-OW)
Where can I find...?	หา...ได้ที่ไหน - Ha...dai tee nai? (HAH...dy tee NY)
This is an emergency	เหตุฉุกเฉิน - Het chuk chern (HAYT chook CHERN)
Can I pay with card?	จ่ายบัตรได้ไหม - Jai bat dai mai? (JY baht dy MY)
I need a taxi	ต้องการแท็กซี่ - Tong kan taxi (TOHNG gahn TAHK-see)
How far is it?	ไกลแค่ไหน - Glai khae nai? (GLY kae NY)
Turn left	เลี้ยวซ้าย - Liaw sai (LEE-ow SY)
Turn right	เลี้ยวขวา - Liaw khwa (LEE-ow KWAH)
Go straight	ตรงไป - Trong pai (TRONG py)
Stop here please	จอดที่นี่ - Jot tee nee (JOHT tee NEE)
I don't eat meat	ไม่กินเนื้อ - Mai gin neua (MY gin NEUH-ah)
Is there WiFi?	มีไวไฟไหม - Mee WiFi mai? (MEE WY-fy MY)
What is the password?	รหัสคืออะไร - Rahat kheu arai? (rah-HAHT keu ah-RY)
Can I take a photo?	ถ่ายรูปได้ไหม - Thai rup dai mai? (TY roop dy MY)
Where is the exit?	ทางออกอยู่ที่ไหน - Thang ok yoo tee nai? (TAHNG ohk YOO tee NY)
I need help	ต้องการความช่วยเหลือ - Tong kan khwam chuay leua (TOHNG gahn kwahm CHOO-ay LEU-ah)
Call the police	โทรเรียกตำรวจ - Tho riak tam ruat (TOH ree-AHK tahm ROO-at)
I lost my passport	หนังสือเดินทางหาย - Nang seu dern thang hai (NAHNG seu dern TAHNG HY)
Where is the pharmacy?	ร้านขายยาอยู่ที่ไหน - Ran khai ya yoo tee nai? (RAHN ky YAH YOO tee NY)
I feel sick	ไม่สบาย - Mai sabai (MY sah-BY)
Can you write it down?	เขียนให้หน่อยได้ไหม - Khian hai noi dai mai? (kee-AHN hy NOY dy MY)
Speak more slowly please	พูดช้าๆหน่อย - Phut cha cha noi (POOT CHAH chah NOY)
What does this mean?	นี่หมายความว่าอะไร - Nee mai khwam wa arai? (NEE my KWAHM wah ah-RY)
I'm looking for...	กำลังหา... - Gamlang ha... (gahm-LAHNG HAH)
Do you have...?	มี...ไหม - Mee...mai? (MEE...MY)
How do I get to...?	ไป...อย่างไร - Pai...yang rai? (PY...yahng RY)
Is it nearby?	ใกล้ไหม - Glai mai? (GLY my)
I'll take this one	เอาอันนี้ - Ao an nee (OW ahn NEE)
