English	Japanese (Pronunciation)
Where is the bathroom?	トイレはどこですか - Toire wa doko desu ka (TOY-reh wah DOH-koh des-KAH)
How much does this cost?	これはいくらですか - Kore wa ikura desu ka (KOH-reh wah ee-KOO-rah des-KAH)
I don't understand	わかりません - Wakarimasen (wah-kah-ree-mah-SEN)
Can you help me?	手伝ってもらえますか - Tetsudatte moraemasu ka (teh-tsoo-DAHT-teh moh-rah-eh-mahs-KAH)
I would like...	...をください - ...wo kudasai (woh koo-dah-SY)
The check please	お会計お願いします - Okaikei onegaishimasu (oh-KY-kay oh-neh-guy-shee-MAHS)
Do you speak English?	英語を話せますか - Eigo wo hanasemasu ka (AY-goh woh hah-nah-seh-mahs-KAH)
I'm lost	道に迷いました - Michi ni mayoimashita (MEE-chee nee mah-yoy-mah-SHEE-tah)
What time is it?	今何時ですか - Ima nanji desu ka (EE-mah NAHN-jee des-KAH)
Nice to meet you	はじめまして - Hajimemashite (hah-jee-meh-MAHSH-teh)
I need a doctor	医者が必要です - Isha ga hitsuyou desu (ee-SHAH gah hee-tsoo-YOH des)
Where is the train station?	駅はどこですか - Eki wa doko desu ka (EH-kee wah DOH-koh des-KAH)
Can I have the menu?	メニューをください - Menyuu wo kudasai (MEN-yoo woh koo-dah-SY)
I have a reservation	予約があります - Yoyaku ga arimasu (yoh-YAH-koo gah ah-ree-MAHS)
What do you recommend?	おすすめは何ですか - Osusume wa nan desu ka (oh-soo-SOO-meh wah nahn des-KAH)
Is this seat taken?	この席は空いていますか - Kono seki wa aiteimasu ka (KOH-noh SEH-kee wah eye-teh-ee-mahs-KAH)
I'm allergic to...	...アレルギーがあります - ...arerugii ga arimasu (ah-reh-roo-GEE gah ah-ree-MAHS)
It was delicious	おいしかったです - Oishikatta desu (oy-shee-KAHT-tah des)
See you later	また後で - Mata atode (MAH-tah AH-toh-deh)
Have a nice day	良い一日を - Yoi ichinichi wo (YOY ee-chee-NEE-chee woh)
I'm just looking	見ているだけです - Mite iru dake desu (mee-teh ee-roo DAH-keh des)
Could you repeat that?	もう一度言ってください - Mou ichido itte kudasai (MOH ee-chee-DOH eet-teh koo-dah-SY)
I'm here on vacation	旅行で来ています - Ryokou de kite imasu (ryoh-KOH deh kee-teh ee-MAHS)
Where can I find...?	...はどこにありますか - ...wa doko ni arimasu ka (wah DOH-koh nee ah-ree-mahs-KAH)
This is an emergency	緊急事態です - Kinkyuu jitai desu (keen-KYOO JEE-ty des)
Can I pay with card?	カードで払えますか - Kaado de haraemasu ka (KAH-doh deh hah-rah-eh-mahs-KAH)
I need a taxi	タクシーが必要です - Takushii ga hitsuyou desu (tah-koo-SHEE gah hee-tsoo-YOH des)
How far is it?	どのくらい遠いですか - Dono kurai tooi desu ka (DOH-noh koo-RY TOH-ee des-KAH)
Turn left	左に曲がってください - Hidari ni magatte kudasai (hee-DAH-ree nee mah-GAHT-teh koo-dah-SY)
Turn right	右に曲がってください - Migi ni magatte kudasai (MEE-gee nee mah-GAHT-teh koo-dah-SY)
Go straight	まっすぐ行ってください - Massugu itte kudasai (mahs-SOO-goo eet-teh koo-dah-SY)
Stop here please	ここで止まってください - Koko de tomatte kudasai (KOH-koh deh toh-MAHT-teh koo-dah-SY)
I don't eat meat	肉を食べません - Niku wo tabemasen (NEE-koo woh tah-beh-mah-SEN)
Is there WiFi?	WiFiはありますか - WiFi wa arimasu ka (WY-fy wah ah-ree-mahs-KAH)
What is the password?	パスワードは何ですか - Pasuwaado wa nan desu ka (pah-soo-WAH-doh wah nahn des-KAH)
Can I take a photo?	写真を撮ってもいいですか - Shashin wo totte mo ii desu ka (SHAH-sheen woh TOHT-teh moh EE des-KAH)
Where is the exit?	出口はどこですか - Deguchi wa doko desu ka (DEH-goo-chee wah DOH-koh des-KAH)
I need help	助けが必要です - Tasuke ga hitsuyou desu (tah-SOO-keh gah hee-tsoo-YOH des)
Call the police	警察を呼んでください - Keisatsu wo yonde kudasai (KAY-sah-tsoo woh YOHN-deh koo-dah-SY)
I lost my passport	パスポートをなくしました - Pasupooto wo nakushimashita (pah-soo-POH-toh woh nah-koo-shee-MAH-shee-tah)
Where is the pharmacy?	薬局はどこですか - Yakkyoku wa doko desu ka (yahk-KYOH-koo wah DOH-koh des-KAH)
I feel sick	気分が悪いです - Kibun ga warui desu (kee-BOON gah wah-ROO-ee des)
Can you write it down?	書いてもらえますか - Kaite moraemasu ka (KY-teh moh-rah-eh-mahs-KAH)
Speak more slowly please	もっとゆっくり話してください - Motto yukkuri hanashite kudasai (MOHT-toh YOOK-koo-ree hah-NAH-shee-teh koo-dah-SY)
What does this mean?	これはどういう意味ですか - Kore wa dou iu imi desu ka (KOH-reh wah DOH ee-oo EE-mee des-KAH)
I'm looking for...	...を探しています - ...wo sagashite imasu (woh sah-GAH-shee-teh ee-MAHS)
Do you have...?	...はありますか - ...wa arimasu ka (wah ah-ree-mahs-KAH)
How do I get to...?	...への行き方は - ...e no ikikata wa (eh noh ee-kee-KAH-tah wah)
Is it nearby?	近くですか - Chikaku desu ka (chee-KAH-koo des-KAH)
I'll take this one	これをください - Kore wo kudasai (KOH-reh woh koo-dah-SY)
