English	Italian (Pronunciation)
Where is the bathroom?	Dov'è il bagno? (doh-VEH eel BAHN-yoh)
How much does this cost?	Quanto costa questo? (KWAHN-toh KOH-stah KWEH-stoh)
I don't understand	Non capisco (nohn kah-PEE-skoh)
Can you help me?	Può aiutarmi? (PWOH ah-yoo-TAR-mee)
I would like...	Vorrei... (vohr-RAY)
The check please	Il conto per favore (eel KOHN-toh pehr fah-VOH-reh)
Do you speak English?	Parla inglese? (PAR-lah een-GLEH-zeh)
I'm lost	Mi sono perso (mee SOH-noh PEHR-soh)
What time is it?	Che ore sono? (keh OH-reh SOH-noh)
Nice to meet you	Piacere (pyah-CHEH-reh)
I need a doctor	Ho bisogno di un medico (oh bee-ZOHN-yoh dee oon MEH-dee-koh)
Where is the train station?	Dov'è la stazione? (doh-VEH lah stah-TSYOH-neh)
Can I have the menu?	Posso avere il menu? (POHS-soh ah-VEH-reh eel meh-NOO)
I have a reservation	Ho una prenotazione (oh OO-nah preh-noh-tah-TSYOH-neh)
What do you recommend?	Cosa consiglia? (KOH-zah kohn-SEEL-yah)
Is this seat taken?	È occupato questo posto? (eh oh-koo-PAH-toh KWEH-stoh POH-stoh)
I'm allergic to...	Sono allergico a... (SOH-noh ah-LEHR-jee-koh ah)
It was delicious	Era delizioso (EH-rah deh-lee-TSYOH-zoh)
See you later	A dopo (ah DOH-poh)
Have a nice day	Buona giornata (BWOH-nah jor-NAH-tah)
I'm just looking	Sto solo guardando (stoh SOH-loh gwar-DAHN-doh)
Could you repeat that?	Potrebbe ripetere? (poh-TREH-beh ree-PEH-teh-reh)
I'm here on vacation	Sono qui in vacanza (SOH-noh kwee een vah-KAHN-tsah)
Where can I find...?	Dove posso trovare...? (DOH-veh POHS-soh troh-VAH-reh)
This is an emergency	Questa è un'emergenza (KWEH-stah eh oon-eh-mehr-JEHN-tsah)
Can I pay with card?	Posso pagare con carta? (POHS-soh pah-GAH-reh kohn KAR-tah)
I need a taxi	Ho bisogno di un taxi (oh bee-ZOHN-yoh dee oon TAHK-see)
How far is it?	Quanto è lontano? (KWAHN-toh eh lohn-TAH-noh)
Turn left	Giri a sinistra (JEE-ree ah see-NEE-strah)
Turn right	Giri a destra (JEE-ree ah DEH-strah)
Go straight	Vada dritto (VAH-dah DREET-toh)
Stop here please	Si fermi qui per favore (see FEHR-mee kwee pehr fah-VOH-reh)
I don't eat meat	Non mangio carne (nohn MAHN-joh KAR-neh)
Is there WiFi?	C'è il WiFi? (cheh eel WY-fy)
What is the password?	Qual è la password? (kwahl eh lah PAHS-word)
Can I take a photo?	Posso fare una foto? (POHS-soh FAH-reh OO-nah FOH-toh)
Where is the exit?	Dov'è l'uscita? (doh-VEH loo-SHEE-tah)
I need help	Ho bisogno di aiuto (oh bee-ZOHN-yoh dee ah-YOO-toh)
Call the police	Chiami la polizia (KYAH-mee lah poh-lee-TSEE-ah)
I lost my passport	Ho perso il passaporto (oh PEHR-soh eel pahs-sah-POR-toh)
Where is the pharmacy?	Dov'è la farmacia? (doh-VEH lah far-mah-CHEE-ah)
I feel sick	Mi sento male (mee SEHN-toh MAH-leh)
Can you write it down?	Può scriverlo? (PWOH SKREE-vehr-loh)
Speak more slowly please	Parli più lentamente per favore (PAR-lee pyoo lehn-tah-MEHN-teh pehr fah-VOH-reh)
What does this mean?	Cosa significa? (KOH-zah see-NYEE-fee-kah)
I'm looking for...	Sto cercando... (stoh chehr-KAHN-doh)
Do you have...?	Avete...? (ah-VEH-teh)
How do I get to...?	Come arrivo a...? (KOH-meh ah-REE-voh ah)
Is it nearby?	È vicino? (eh vee-CHEE-noh)
I'll take this one	Prendo questo (PREHN-doh KWEH-stoh)
