English	German (Pronunciation)
Hello	Hallo (HAH-loh)
Goodbye	Auf Wiedersehen (owf VEE-der-zay-en)
Please	Bitte (BIT-tuh)
Thank you	Danke (DAHN-kuh)
Yes	Ja (YAH)
No	Nein (NINE)
Good morning	Guten Morgen (GOO-ten MOR-gen)
Good afternoon	Guten Tag (GOO-ten TAHK)
Good night	Gute Nacht (GOO-tuh NAHKT)
How are you?	Wie geht es Ihnen? (vee GAYT es EE-nen)
I'm fine	Mir geht es gut (meer GAYT es GOOT)
Water	Wasser (VAH-ser)
Food	Essen (ES-sen)
Friend	Freund (FROYNT)
Family	Familie (fah-MEE-lee-uh)
Love	Liebe (LEE-buh)
House	Haus (HOWS)
Work	Arbeit (AR-bite)
Time	Zeit (TSITE)
Today	Heute (HOY-tuh)
Tomorrow	Morgen (MOR-gen)
Yesterday	Gestern (GESS-tern)
Money	Geld (GELT)
Help	Hilfe (HIL-fuh)
Sorry	Entschuldigung (ent-SHOOL-di-goong)
Excuse me	Entschuldigen Sie (ent-SHOOL-di-gen ZEE)
Welcome	Willkommen (vil-KOM-men)
One	Eins (EYENS)
Two	Zwei (TSVYE)
Three	Drei (DRY)
Four	Vier (FEER)
Five	Fünf (FUENF)
Ten	Zehn (TSAYN)
Bathroom	Toilette (toy-LET-tuh)
Restaurant	Restaurant (res-toh-RAHNT)
Hotel	Hotel (hoh-TEL)
Airport	Flughafen (FLOOG-hah-fen)
Train	Zug (TSOOK)
Bus	Bus (BOOS)
Taxi	Taxi (TAHK-see)
Street	Straße (SHTRAH-suh)
Left	Links (LINKS)
Right	Rechts (REKHTS)
Straight	Geradeaus (geh-RAH-deh-ows)
Big	Groß (GROHS)
Small	Klein (KLINE)
Hot	Heiß (HICE)
Cold	Kalt (KAHLT)
Good	Gut (GOOT)
Bad	Schlecht (SHLEKHT)
