English	Klingon - Star Trek (Pronunciation)
What do you want?	nuqneH (nook-NEKH)
Success!	Qapla'! (kahp-LAH)
I don't understand	jIyajbe' (jee-yahj-BEH)
Speak!	yIjatlh! (yee-JAHTLH)
I am a Klingon	tlhIngan jIH (tlhee-NGAHN jeekh)
Where is...?	nuqDaq 'oH...? (nook-DAHK ohkh)
What is your name?	'Iv DaH? (eev dahkh)
You are brave	bIDuS (bee-DOOSH)
Today is a good day to die	Heghlu'meH QaQ jajvam (khegh-loo-MEKH kahk jahj-VAHM)
Battle!	may'! (MY)
Victory is ours	maQap (mah-KAHP)
Drink!	yItlhutlh! (yee-TLHOOTLH)
Bloodwine	'Iw HIq (eew KHEEK)
Go now!	DaH yIghoS! (dahkh yee-GHOHSH)
Engage!	yIghoS! (yee-GHOHSH)
Beam me up	HIjol (khee-JOHL)
I am ready	jIghuH (jee-GHOOKH)
Die with honor	batlh bIHegh (baht-lh bee-KHEGH)
You have no honor	batlh Daqawlu'be' (baht-lh dah-KOW-loo-beh)
Fire the torpedoes!	cha yIbaH! (CHAH yee-BAHKH)
Shut up!	bIjatlh 'e' yImev! (bee-JAHTLH eh yee-MEV)
I will kill you	qaHoH (kah-KHOHKH)
My honor is my life	batlhwIj yInwIj (baht-lh-WEEJ yeen-WEEJ)
Revenge is a dish best served cold	bortaS bIr jablu'DI' reH QaQqu' nay' (bohr-TAHS beer jahb-loo-DEE reh kahk-KOO ny)
Live long and prosper (mocking)	yIn nI' yISIQ 'ej yIchep (yeen NEE yee-SEEK ej yee-CHEP)
