English	Spanish (Pronunciation)
Hello	Hola (OH-lah)
Goodbye	Adiós (ah-dee-OHS)
Please	Por favor (por fah-VOR)
Thank you	Gracias (GRAH-see-ahs)
Yes	Sí (SEE)
No	No (NOH)
Good morning	Buenos días (BWAY-nohs DEE-ahs)
Good afternoon	Buenas tardes (BWAY-nahs TAR-dehs)
Good night	Buenas noches (BWAY-nahs NOH-chess)
How are you?	¿Cómo estás? (KOH-moh ehs-TAHS)
I'm fine	Estoy bien (ehs-TOY bee-EHN)
Water	Agua (AH-gwah)
Food	Comida (koh-MEE-dah)
Friend	Amigo (ah-MEE-goh)
Family	Familia (fah-MEE-lee-ah)
Love	Amor (ah-MOR)
House	Casa (KAH-sah)
Work	Trabajo (trah-BAH-hoh)
Time	Tiempo (tee-EHM-poh)
Today	Hoy (OY)
Tomorrow	Mañana (mahn-YAH-nah)
Yesterday	Ayer (ah-YEHR)
Money	Dinero (dee-NEH-roh)
Help	Ayuda (ah-YOO-dah)
Sorry	Lo siento (loh see-EHN-toh)
Excuse me	Perdón (pehr-DOHN)
Welcome	Bienvenido (bee-ehn-veh-NEE-doh)
One	Uno (OO-noh)
Two	Dos (dohs)
Three	Tres (trehs)
Four	Cuatro (KWAH-troh)
Five	Cinco (SEEN-koh)
Ten	Diez (dee-EHS)
Bathroom	Baño (BAHN-yoh)
Restaurant	Restaurante (rehs-tow-RAHN-teh)
Hotel	Hotel (oh-TEL)
Airport	Aeropuerto (ah-eh-roh-PWEHR-toh)
Train	Tren (trehn)
Bus	Autobús (ow-toh-BOOS)
Taxi	Taxi (TAHK-see)
Street	Calle (KAH-yeh)
Left	Izquierda (ees-kee-EHR-dah)
Right	Derecha (deh-REH-chah)
Straight	Derecho (deh-REH-choh)
Big	Grande (GRAHN-deh)
Small	Pequeño (peh-KEHN-yoh)
Hot	Caliente (kah-lee-EHN-teh)
Cold	Frío (FREE-oh)
Good	Bueno (BWEH-noh)
Bad	Malo (MAH-loh)
