English	Greek (Pronunciation)
Hello	Γειά σου - Yia sou (YAH soo)
Goodbye	Αντίο - Adio (ah-DEE-oh)
Please	Παρακαλώ - Parakalo (pah-rah-kah-LOH)
Thank you	Ευχαριστώ - Efcharisto (ef-khah-ree-STOH)
Yes	Ναι - Nai (NEH)
No	Όχι - Ochi (OH-hee)
Good morning	Καλημέρα - Kalimera (kah-lee-MEH-rah)
Good afternoon	Καλησπέρα - Kalispera (kah-lee-SPEH-rah)
Good night	Καληνύχτα - Kalinychta (kah-lee-NEEKH-tah)
How are you?	Τι κάνεις; - Ti kanis? (TEE KAH-nees)
I'm fine	Είμαι καλά - Eimai kala (EE-may kah-LAH)
Water	Νερό - Nero (neh-ROH)
Food	Φαγητό - Fagito (fah-yee-TOH)
Friend	Φίλος - Filos (FEE-lohs)
Family	Οικογένεια - Oikogeneia (ee-koh-YEH-nee-ah)
Love	Αγάπη - Agapi (ah-GAH-pee)
House	Σπίτι - Spiti (SPEE-tee)
Work	Δουλειά - Douleia (dhoo-lee-AH)
Time	Ώρα - Ora (OH-rah)
Today	Σήμερα - Simera (SEE-meh-rah)
Tomorrow	Αύριο - Avrio (AHV-ree-oh)
Yesterday	Χθες - Chthes (KHTHES)
Money	Χρήματα - Chrimata (KHREE-mah-tah)
Help	Βοήθεια - Voitheia (voh-EE-thee-ah)
Sorry	Συγγνώμη - Signomi (see-GNOH-mee)
Excuse me	Με συγχωρείτε - Me sygchorite (meh seen-khoh-REE-teh)
Welcome	Καλώς ήρθατε - Kalos irthate (kah-LOHS EER-thah-teh)
One	Ένα - Ena (EH-nah)
Two	Δύο - Dyo (DHEE-oh)
Three	Τρία - Tria (TREE-ah)
Four	Τέσσερα - Tessera (TEH-seh-rah)
Five	Πέντε - Pente (PEN-deh)
Ten	Δέκα - Deka (DHEH-kah)
Bathroom	Τουαλέτα - Toualeta (too-ah-LEH-tah)
Restaurant	Εστιατόριο - Estiatorio (eh-stee-ah-TOH-ree-oh)
Hotel	Ξενοδοχείο - Xenodocheio (kseh-noh-dhoh-KHEE-oh)
Airport	Αεροδρόμιο - Aerodromio (ah-eh-roh-DHROH-mee-oh)
Train	Τρένο - Treno (TREH-noh)
Bus	Λεωφορείο - Leoforeio (leh-oh-foh-REE-oh)
Taxi	Ταξί - Taxi (tahk-SEE)
Street	Δρόμος - Dromos (DHROH-mohs)
Left	Αριστερά - Aristera (ah-ree-steh-RAH)
Right	Δεξιά - Dexia (dhek-see-AH)
Straight	Ευθεία - Eftheia (ef-THEE-ah)
Big	Μεγάλο - Megalo (meh-GAH-loh)
Small	Μικρό - Mikro (mee-KROH)
Hot	Ζεστό - Zesto (zeh-STOH)
Cold	Κρύο - Kryo (KREE-oh)
Good	Καλό - Kalo (kah-LOH)
Bad	Κακό - Kako (kah-KOH)
