English	Spanish (Pronunciation)
Where is the bathroom?	¿Dónde está el baño? (DOHN-deh ehs-TAH el BAHN-yoh)
How much does this cost?	¿Cuánto cuesta esto? (KWAHN-toh KWEHS-tah EHS-toh)
I don't understand	No entiendo (noh ehn-tee-EHN-doh)
Can you help me?	¿Puede ayudarme? (PWEH-deh ah-yoo-DAR-meh)
I would like...	Me gustaría... (meh goos-tah-REE-ah)
The check please	La cuenta por favor (lah KWEHN-tah por fah-VOR)
Do you speak English?	¿Habla inglés? (AH-blah een-GLEHS)
I'm lost	Estoy perdido (ehs-TOY pehr-DEE-doh)
What time is it?	¿Qué hora es? (keh OH-rah ehs)
Nice to meet you	Mucho gusto (MOO-choh GOOS-toh)
I need a doctor	Necesito un médico (neh-seh-SEE-toh oon MEH-dee-koh)
Where is the train station?	¿Dónde está la estación? (DOHN-deh ehs-TAH lah ehs-tah-see-OHN)
Can I have the menu?	¿Puedo ver el menú? (PWEH-doh vehr el meh-NOO)
I have a reservation	Tengo una reservación (TEHN-goh OO-nah reh-sehr-vah-see-OHN)
What do you recommend?	¿Qué recomienda? (keh reh-koh-mee-EHN-dah)
Is this seat taken?	¿Está ocupado este asiento? (ehs-TAH oh-koo-PAH-doh EHS-teh ah-see-EHN-toh)
I'm allergic to...	Soy alérgico a... (soy ah-LEHR-hee-koh ah)
It was delicious	Estaba delicioso (ehs-TAH-bah deh-lee-see-OH-soh)
See you later	Hasta luego (AHS-tah LWEH-goh)
Have a nice day	Que tenga un buen día (keh TEHN-gah oon bwehn DEE-ah)
I'm just looking	Solo estoy mirando (SOH-loh ehs-TOY mee-RAHN-doh)
Could you repeat that?	¿Podría repetir eso? (poh-DREE-ah reh-peh-TEER EH-soh)
I'm here on vacation	Estoy aquí de vacaciones (ehs-TOY ah-KEE deh vah-kah-see-OH-nehs)
Where can I find...?	¿Dónde puedo encontrar...? (DOHN-deh PWEH-doh ehn-kohn-TRAHR)
This is an emergency	Esto es una emergencia (EHS-toh ehs OO-nah eh-mehr-HEHN-see-ah)
Can I pay with card?	¿Puedo pagar con tarjeta? (PWEH-doh pah-GAR kohn tar-HEH-tah)
I need a taxi	Necesito un taxi (neh-seh-SEE-toh oon TAHK-see)
How far is it?	¿Qué tan lejos está? (keh tahn LEH-hohs ehs-TAH)
Turn left	Gire a la izquierda (HEE-reh ah lah ees-kee-EHR-dah)
Turn right	Gire a la derecha (HEE-reh ah lah deh-REH-chah)
Go straight	Siga derecho (SEE-gah deh-REH-choh)
Stop here please	Pare aquí por favor (PAH-reh ah-KEE por fah-VOR)
I don't eat meat	No como carne (noh KOH-moh KAR-neh)
Is there WiFi?	¿Hay WiFi? (eye WY-fy)
What is the password?	¿Cuál es la contraseña? (kwahl ehs lah kohn-trah-SEHN-yah)
Can I take a photo?	¿Puedo tomar una foto? (PWEH-doh toh-MAR OO-nah FOH-toh)
Where is the exit?	¿Dónde está la salida? (DOHN-deh ehs-TAH lah sah-LEE-dah)
I need help	Necesito ayuda (neh-seh-SEE-toh ah-YOO-dah)
Call the police	Llame a la policía (YAH-meh ah lah poh-lee-SEE-ah)
I lost my passport	Perdí mi pasaporte (pehr-DEE mee pah-sah-POR-teh)
Where is the pharmacy?	¿Dónde está la farmacia? (DOHN-deh ehs-TAH lah far-MAH-see-ah)
I feel sick	Me siento mal (meh see-EHN-toh mahl)
Can you write it down?	¿Puede escribirlo? (PWEH-deh ehs-kree-BEER-loh)
Speak more slowly please	Hable más despacio por favor (AH-bleh mahs dehs-PAH-see-oh por fah-VOR)
What does this mean?	¿Qué significa esto? (keh seeg-nee-FEE-kah EHS-toh)
I'm looking for...	Estoy buscando... (ehs-TOY boos-KAHN-doh)
Do you have...?	¿Tiene...? (tee-EH-neh)
How do I get to...?	¿Cómo llego a...? (KOH-moh YEH-goh ah)
Is it nearby?	¿Está cerca? (ehs-TAH SEHR-kah)
I'll take this one	Me llevo este (meh YEH-voh EHS-teh)
