English	Portuguese (Pronunciation)
Where is the bathroom?	Onde fica o banheiro? (OHN-jee FEE-kah oo bahn-YAY-roo)
How much does this cost?	Quanto custa isso? (KWAHN-too KOOSH-tah EE-soo)
I don't understand	Não entendo (nowng ehn-TEHN-doo)
Can you help me?	Pode me ajudar? (POH-jee mee ah-zhoo-DAR)
I would like...	Eu gostaria... (ay-oo gosh-tah-REE-ah)
The check please	A conta por favor (ah KOHN-tah poor fah-VOR)
Do you speak English?	Fala inglês? (FAH-lah een-GLEHSH)
I'm lost	Estou perdido (esh-TOH pehr-JEE-doo)
What time is it?	Que horas são? (kee OH-rahsh sowng)
Nice to meet you	Prazer (prah-ZEHR)
I need a doctor	Preciso de um médico (preh-SEE-zoo jee oom MEH-jee-koo)
Where is the train station?	Onde é a estação? (OHN-jee eh ah esh-tah-SOWNG)
Can I have the menu?	Posso ver o cardápio? (POH-soo vehr oo kar-DAH-pyoo)
I have a reservation	Tenho uma reserva (TEHN-yoo OO-mah heh-ZEHR-vah)
What do you recommend?	O que você recomenda? (oo kee voh-SEH heh-koh-MEHN-dah)
Is this seat taken?	Este lugar está ocupado? (EHS-chee loo-GAR esh-TAH oh-koo-PAH-doo)
I'm allergic to...	Sou alérgico a... (soh ah-LEHR-zhee-koo ah)
It was delicious	Estava delicioso (esh-TAH-vah deh-lee-see-OH-zoo)
See you later	Até logo (ah-TEH LOH-goo)
Have a nice day	Tenha um bom dia (TEHN-yah oom bohm JEE-ah)
I'm just looking	Estou só olhando (esh-TOH soh oh-LYAHN-doo)
Could you repeat that?	Poderia repetir? (poh-deh-REE-ah heh-peh-CHEER)
I'm here on vacation	Estou de férias (esh-TOH jee FEH-ree-ahsh)
Where can I find...?	Onde posso encontrar...? (OHN-jee POH-soo ehn-kohn-TRAR)
This is an emergency	É uma emergência (eh OO-mah eh-mehr-ZHEHN-see-ah)
Can I pay with card?	Posso pagar com cartão? (POH-soo pah-GAR kohm kar-TOWNG)
I need a taxi	Preciso de um táxi (preh-SEE-zoo jee oom TAHK-see)
How far is it?	Quão longe é? (kwowng LOHN-zhee eh)
Turn left	Vire à esquerda (VEE-ree ah esh-KEHR-dah)
Turn right	Vire à direita (VEE-ree ah jee-RAY-tah)
Go straight	Siga em frente (SEE-gah aym FREHN-chee)
Stop here please	Pare aqui por favor (PAH-ree ah-KEE poor fah-VOR)
I don't eat meat	Não como carne (nowng KOH-moo KAR-nee)
Is there WiFi?	Tem WiFi? (taym WY-fy)
What is the password?	Qual é a senha? (kwahl eh ah SEHN-yah)
Can I take a photo?	Posso tirar uma foto? (POH-soo chee-RAR OO-mah FOH-too)
Where is the exit?	Onde é a saída? (OHN-jee eh ah sah-EE-dah)
I need help	Preciso de ajuda (preh-SEE-zoo jee ah-ZHOO-dah)
Call the police	Chame a polícia (SHAH-mee ah poh-LEE-see-ah)
I lost my passport	Perdi meu passaporte (pehr-JEE may-oo pah-sah-POR-chee)
Where is the pharmacy?	Onde é a farmácia? (OHN-jee eh ah far-MAH-see-ah)
I feel sick	Estou me sentindo mal (esh-TOH mee sehn-CHEEN-doo mahl)
Can you write it down?	Pode escrever? (POH-jee esh-kreh-VEHR)
Speak more slowly please	Fale mais devagar por favor (FAH-lee mysh deh-vah-GAR poor fah-VOR)
What does this mean?	O que significa isso? (oo kee seeg-nee-FEE-kah EE-soo)
I'm looking for...	Estou procurando... (esh-TOH proh-koo-RAHN-doo)
Do you have...?	Você tem...? (voh-SEH taym)
How do I get to...?	Como chego a...? (KOH-moo SHEH-goo ah)
Is it nearby?	É perto? (eh PEHR-too)
I'll take this one	Vou levar esse (voh leh-VAR EH-see)
