English	Russian (Pronunciation)
Hello	Привет - Privet (pree-VYET)
Goodbye	До свидания - Do svidaniya (dah svee-DAH-nee-yah)
Please	Пожалуйста - Pozhaluysta (pah-ZHAH-loo-stah)
Thank you	Спасибо - Spasibo (spah-SEE-bah)
Yes	Да - Da (DAH)
No	Нет - Nyet (NYET)
Good morning	Доброе утро - Dobroye utro (DOH-brah-yeh OO-trah)
Good afternoon	Добрый день - Dobryy den (DOH-bree DYEN)
Good night	Спокойной ночи - Spokoynoy nochi (spah-KOY-noy NOH-chee)
How are you?	Как дела? - Kak dela? (KAHK dee-LAH)
I'm fine	Хорошо - Khorosho (khah-rah-SHOH)
Water	Вода - Voda (vah-DAH)
Food	Еда - Yeda (yee-DAH)
Friend	Друг - Drug (DROOK)
Family	Семья - Semya (seem-YAH)
Love	Любовь - Lyubov (lyoo-BOHV)
House	Дом - Dom (DOHM)
Work	Работа - Rabota (rah-BOH-tah)
Time	Время - Vremya (VREH-myah)
Today	Сегодня - Segodnya (see-VOHD-nyah)
Tomorrow	Завтра - Zavtra (ZAHV-trah)
Yesterday	Вчера - Vchera (vcheh-RAH)
Money	Деньги - Dengi (DEHN-gee)
Help	Помощь - Pomoshch (POH-mahshch)
Sorry	Извините - Izvinite (eez-vee-NEE-tyeh)
Excuse me	Простите - Prostite (prah-STEE-tyeh)
Welcome	Добро пожаловать - Dobro pozhalovat (dah-BROH pah-ZHAH-lah-vaht)
One	Один - Odin (ah-DEEN)
Two	Два - Dva (DVAH)
Three	Три - Tri (TREE)
Four	Четыре - Chetyre (cheh-TIH-ryeh)
Five	Пять - Pyat (PYAHT)
Ten	Десять - Desyat (DYEH-syaht)
Bathroom	Туалет - Tualet (too-ah-LYET)
Restaurant	Ресторан - Restoran (reh-stah-RAHN)
Hotel	Гостиница - Gostinitsa (gahs-TEE-nee-tsah)
Airport	Аэропорт - Aeroport (ah-eh-rah-PORT)
Train	Поезд - Poyezd (POH-yezd)
Bus	Автобус - Avtobus (ahv-TOH-boos)
Taxi	Такси - Taksi (tahk-SEE)
Street	Улица - Ulitsa (OO-lee-tsah)
Left	Налево - Nalevo (nah-LYEH-vah)
Right	Направо - Napravo (nah-PRAH-vah)
Straight	Прямо - Pryamo (PRYAH-mah)
Big	Большой - Bolshoy (bahl-SHOY)
Small	Маленький - Malenkiy (MAH-lehn-kee)
Hot	Горячий - Goryachiy (gah-RYAH-chee)
Cold	Холодный - Kholodnyy (khah-LOHD-niy)
Good	Хороший - Khoroshiy (khah-ROH-shiy)
Bad	Плохой - Plokhoy (plah-KHOY)
