English	Russian (Pronunciation)
Where is the bathroom?	Где туалет? - Gde tualet? (GDYEH too-ah-LYET)
How much does this cost?	Сколько это стоит? - Skolko eto stoit? (SKOHL-kah EH-tah STOH-eet)
I don't understand	Я не понимаю - Ya ne ponimayu (YAH nyeh pah-nee-MAH-yoo)
Can you help me?	Вы можете мне помочь? - Vy mozhete mne pomoch? (VIH MOH-zheh-tyeh mnyeh pah-MOHCH)
I would like...	Я хотел бы... - Ya khotel by... (YAH khah-TYEL bih)
The check please	Счёт пожалуйста - Schyot pozhaluysta (SHCHYOHT pah-ZHAH-loo-stah)
Do you speak English?	Вы говорите по-английски? - Vy govorite po-angliyski? (VIH gah-vah-REE-tyeh pah-ahn-GLEE-skee)
I'm lost	Я заблудился - Ya zabludilsya (YAH zah-bloo-DEEL-syah)
What time is it?	Который час? - Kotoryy chas? (kah-TOH-riy CHAHS)
Nice to meet you	Приятно познакомиться - Priyatno poznakomitsya (pree-YAHT-nah pahz-nah-KOH-meet-syah)
I need a doctor	Мне нужен врач - Mne nuzhen vrach (MNYEH NOO-zhehn VRAHCH)
Where is the train station?	Где вокзал? - Gde vokzal? (GDYEH vahk-ZAHL)
Can I have the menu?	Можно меню? - Mozhno menyu? (MOHZH-nah meh-NYOO)
I have a reservation	У меня есть бронь - U menya yest bron (oo mee-NYAH YEHST BROHN)
What do you recommend?	Что вы рекомендуете? - Chto vy rekomenduete? (SHTOH vih reh-kah-mehn-DOO-yeh-tyeh)
Is this seat taken?	Это место занято? - Eto mesto zanyato? (EH-tah MYEH-stah ZAH-nyah-tah)
I'm allergic to...	У меня аллергия на... - U menya allergiya na... (oo mee-NYAH ah-lehr-GEE-yah NAH)
It was delicious	Было очень вкусно - Bylo ochen vkusno (BIH-lah OH-chehn VKOOS-nah)
See you later	До скорого - Do skorogo (dah SKOH-rah-vah)
Have a nice day	Хорошего дня - Khoroshego dnya (khah-ROH-sheh-vah DNYAH)
I'm just looking	Я просто смотрю - Ya prosto smotryu (YAH PROH-stah smah-TRYOO)
Could you repeat that?	Повторите пожалуйста - Povtorite pozhaluysta (pahv-tah-REE-tyeh pah-ZHAH-loo-stah)
I'm here on vacation	Я здесь в отпуске - Ya zdes v otpuske (YAH ZDYEHS v OHT-poos-kyeh)
Where can I find...?	Где я могу найти...? - Gde ya mogu nayti...? (GDYEH YAH mah-GOO nai-TEE)
This is an emergency	Это срочно - Eto srochno (EH-tah SROHCH-nah)
Can I pay with card?	Можно оплатить картой? - Mozhno oplatit kartoy? (MOHZH-nah ah-plah-TEET kar-TOY)
I need a taxi	Мне нужно такси - Mne nuzhno taksi (MNYEH NOOZH-nah tahk-SEE)
How far is it?	Как далеко? - Kak daleko? (KAHK dah-leh-KOH)
Turn left	Поверните налево - Povernite nalevo (pah-vehr-NEE-tyeh nah-LYEH-vah)
Turn right	Поверните направо - Povernite napravo (pah-vehr-NEE-tyeh nah-PRAH-vah)
Go straight	Идите прямо - Idite pryamo (ee-DEE-tyeh PRYAH-mah)
Stop here please	Остановитесь здесь - Ostanovites zdes (ah-stah-nah-VEE-tyehs ZDYEHS)
I don't eat meat	Я не ем мясо - Ya ne yem myaso (YAH nyeh YEHM MYAH-sah)
Is there WiFi?	Есть WiFi? - Yest WiFi? (YEHST WY-fy)
What is the password?	Какой пароль? - Kakoy parol? (kah-KOY pah-ROHL)
Can I take a photo?	Можно сфотографировать? - Mozhno sfotografirovat? (MOHZH-nah sfah-tah-grah-FEE-rah-vaht)
Where is the exit?	Где выход? - Gde vykhod? (GDYEH VIH-khahd)
I need help	Мне нужна помощь - Mne nuzhna pomoshch (MNYEH noozh-NAH POH-mahshch)
Call the police	Вызовите полицию - Vyzovite politsiyu (vih-zah-VEE-tyeh pah-LEE-tsee-yoo)
I lost my passport	Я потерял паспорт - Ya poteryal pasport (YAH pah-teh-RYAHL PAHS-pahrt)
Where is the pharmacy?	Где аптека? - Gde apteka? (GDYEH ahp-TYEH-kah)
I feel sick	Мне плохо - Mne plokho (MNYEH PLOH-khah)
Can you write it down?	Можете записать? - Mozhete zapisat? (MOH-zheh-tyeh zah-pee-SAHT)
Speak more slowly please	Говорите медленнее пожалуйста - Govorite medlenneye pozhaluysta (gah-vah-REE-tyeh MYED-leh-neh-yeh pah-ZHAH-loo-stah)
What does this mean?	Что это значит? - Chto eto znachit? (SHTOH EH-tah ZNAH-cheet)
I'm looking for...	Я ищу... - Ya ishchu... (YAH ee-SHCHOO)
Do you have...?	У вас есть...? - U vas yest...? (oo VAHS YEHST)
How do I get to...?	Как добраться до...? - Kak dobratsya do...? (KAHK dah-BRAHT-syah DOH)
Is it nearby?	Это близко? - Eto blizko? (EH-tah BLEEZ-kah)
I'll take this one	Я возьму это - Ya vozmu eto (YAH vahz-MOO EH-tah)
