English	Dutch (Pronunciation)
Hello	Hallo (HAH-loh)
Goodbye	Tot ziens (toht ZEENS)
Please	Alstublieft (ahls-too-BLEEFT)
Thank you	Dank u (DAHNK oo)
Yes	Ja (YAH)
No	Nee (NAY)
Good morning	Goedemorgen (KHOO-duh-mor-khun)
Good afternoon	Goedemiddag (KHOO-duh-mih-dahkh)
Good night	Goedenacht (KHOO-duh-nahkht)
How are you?	Hoe gaat het? (HOO khaht HET)
I'm fine	Het gaat goed (het KHAHT khoot)
Water	Water (VAH-ter)
Food	Eten (AY-tun)
Friend	Vriend (VREENT)
Family	Familie (fah-MEE-lee)
Love	Liefde (LEEF-duh)
House	Huis (HOWS)
Work	Werk (VEHRK)
Time	Tijd (TAYT)
Today	Vandaag (vahn-DAHKH)
Tomorrow	Morgen (MOR-khun)
Yesterday	Gisteren (KHIS-ter-un)
Money	Geld (KHELT)
Help	Hulp (HULP)
Sorry	Sorry (SOH-ree)
Excuse me	Pardon (par-DOHN)
Welcome	Welkom (VEL-kom)
One	Een (AYN)
Two	Twee (TVAY)
Three	Drie (DREE)
Four	Vier (FEER)
Five	Vijf (VAYF)
Ten	Tien (TEEN)
Bathroom	Toilet (twah-LET)
Restaurant	Restaurant (res-toh-RAHNT)
Hotel	Hotel (hoh-TEL)
Airport	Luchthaven (LUKHT-hah-vun)
Train	Trein (TRAYN)
Bus	Bus (BUS)
Taxi	Taxi (TAHK-see)
Street	Straat (STRAHT)
Left	Links (LINKS)
Right	Rechts (REKHTS)
Straight	Rechtdoor (REKHT-dohr)
Big	Groot (KHROHT)
Small	Klein (KLAYN)
Hot	Heet (HAYT)
Cold	Koud (KOWT)
Good	Goed (KHOOT)
Bad	Slecht (SLEKHT)
