English	Korean (Pronunciation)
Where is the bathroom?	화장실이 어디에요? - Hwajangsiri eodieyo? (hwah-jahng-SHEE-ree uh-dee-EH-yoh)
How much does this cost?	이거 얼마에요? - Igeo eolmaeyo? (ee-GUH uhl-MAH-eh-yoh)
I don't understand	이해 못 해요 - Ihae mot haeyo (ee-HAY moht HAY-yoh)
Can you help me?	도와주실 수 있어요? - Dowajusil su isseoyo? (doh-wah-joo-SHEEL soo ee-SSUH-yoh)
I would like...	...주세요 - ...juseyo (joo-SAY-yoh)
The check please	계산서 주세요 - Gyesanseo juseyo (gyeh-SAHN-suh joo-SAY-yoh)
Do you speak English?	영어 하세요? - Yeongeo haseyo? (yung-UH hah-SAY-yoh)
I'm lost	길을 잃었어요 - Gireul ireosseoyo (gee-RUHL ee-ruh-SSUH-yoh)
What time is it?	지금 몇 시에요? - Jigeum myeot sieyo? (jee-GEUM myuht SHEE-eh-yoh)
Nice to meet you	만나서 반갑습니다 - Mannaseo bangapseumnida (mahn-nah-SUH bahn-GAHP-seum-nee-dah)
I need a doctor	의사가 필요해요 - Uisaga piryohaeyo (wee-SAH-gah pee-ryoh-HAY-yoh)
Where is the train station?	기차역이 어디에요? - Gichayeogi eodieyo? (gee-CHAH-yuh-gee uh-dee-EH-yoh)
Can I have the menu?	메뉴판 주세요 - Menyupan juseyo (MEH-nyoo-pahn joo-SAY-yoh)
I have a reservation	예약했어요 - Yeyakhaesseoyo (yeh-YAHK-hay-SSUH-yoh)
What do you recommend?	뭐가 맛있어요? - Mwoga masisseoyo? (MWOH-gah mah-shee-SSUH-yoh)
Is this seat taken?	이 자리 있어요? - I jari isseoyo? (ee JAH-ree ee-SSUH-yoh)
I'm allergic to...	...에 알레르기가 있어요 - ...e allereugi ga isseoyo (eh ah-leh-REU-gee-gah ee-SSUH-yoh)
It was delicious	맛있었어요 - Masissosseoyo (mah-shee-SSO-ssuh-yoh)
See you later	나중에 봐요 - Najunge bwayo (nah-JOONG-eh BWAH-yoh)
Have a nice day	좋은 하루 되세요 - Joeun haru doeseyo (joh-EUN HAH-roo dweh-SAY-yoh)
I'm just looking	그냥 구경하는 거예요 - Geunyang gugyeonghaneun geoyeyo (geu-NYAHNG goo-gyung-HAH-neun guh-YEH-yoh)
Could you repeat that?	다시 말해 주세요 - Dasi malhae juseyo (dah-SHEE mahl-HAY joo-SAY-yoh)
I'm here on vacation	여행 왔어요 - Yeohaeng wasseoyo (yuh-HAYNG wah-SSUH-yoh)
Where can I find...?	...어디서 찾을 수 있어요? - ...eodiseo chajeul su isseoyo? (uh-dee-SUH chah-JUHL soo ee-SSUH-yoh)
This is an emergency	응급 상황이에요 - Eunggeup sanghwangieyo (eung-GEUP sahng-HWAHNG-ee-eh-yoh)
Can I pay with card?	카드로 결제할 수 있어요? - Kadeuro gyeoljaehal su isseoyo? (KAH-deu-roh gyuhl-JAY-hahl soo ee-SSUH-yoh)
I need a taxi	택시가 필요해요 - Taeksiga piryohaeyo (TAYK-shee-gah pee-ryoh-HAY-yoh)
How far is it?	얼마나 멀어요? - Eolmana meoreoyo? (uhl-MAH-nah muh-RUH-yoh)
Turn left	왼쪽으로 가세요 - Oenjjogeuro gaseyo (wehn-JJOHK-eu-roh gah-SAY-yoh)
Turn right	오른쪽으로 가세요 - Oreunjjogeuro gaseyo (oh-reun-JJOHK-eu-roh gah-SAY-yoh)
Go straight	직진하세요 - Jikjinhaseyo (JEEK-jeen-hah-SAY-yoh)
Stop here please	여기서 세워 주세요 - Yeogiseo sewo juseyo (yuh-GEE-suh SEH-wuh joo-SAY-yoh)
I don't eat meat	고기 안 먹어요 - Gogi an meogeoyo (GOH-gee ahn muh-GUH-yoh)
Is there WiFi?	와이파이 있어요? - Waipai isseoyo? (WY-py ee-SSUH-yoh)
What is the password?	비밀번호가 뭐예요? - Bimilbeonhoga mwoyeyo? (bee-MEEL-buhn-hoh-gah MWOH-yeh-yoh)
Can I take a photo?	사진 찍어도 돼요? - Sajin jjigeodo dwaeyo? (SAH-jeen JJEE-guh-doh DWEH-yoh)
Where is the exit?	출구가 어디에요? - Chulguga eodieyo? (CHOOL-goo-gah uh-dee-EH-yoh)
I need help	도움이 필요해요 - Doumi piryohaeyo (DOH-oom-ee pee-ryoh-HAY-yoh)
Call the police	경찰 불러 주세요 - Gyeongchal bulleo juseyo (GYUHNG-chahl BOOL-luh joo-SAY-yoh)
I lost my passport	여권을 잃어버렸어요 - Yeogwoneul ireobeoryeosseoyo (yuh-GWOHN-euhl ee-ruh-BUH-ryuh-SSUH-yoh)
Where is the pharmacy?	약국이 어디에요? - Yakgugi eodieyo? (YAHK-goo-gee uh-dee-EH-yoh)
I feel sick	아파요 - Apayo (ah-PAH-yoh)
Can you write it down?	적어 주세요 - Jeogeo juseyo (JUH-guh joo-SAY-yoh)
Speak more slowly please	천천히 말해 주세요 - Cheoncheonhi malhae juseyo (chuhn-CHUHN-hee mahl-HAY joo-SAY-yoh)
What does this mean?	이게 무슨 뜻이에요? - Ige museun tteusieyo? (ee-GEH moo-SUHN TTEU-shee-eh-yoh)
I'm looking for...	...을/를 찾고 있어요 - ...eul/reul chatgo isseoyo (euhl/reuhl CHAHT-goh ee-SSUH-yoh)
Do you have...?	...있어요? - ...isseoyo? (ee-SSUH-yoh)
How do I get to...?	...에 어떻게 가요? - ...e eotteoke gayo? (eh uh-TTUH-keh GAH-yoh)
Is it nearby?	가까워요? - Gakkawoyo? (gah-KKAH-woh-yoh)
I'll take this one	이거 주세요 - Igeo juseyo (ee-GUH joo-SAY-yoh)
