English	Na'vi - Avatar (Pronunciation)
What is your name?	Fyape fko syaw ngaru? (FYAH-peh fkoh SYOW ngah-ROO)
My name is...	Oeyä tstxo lu... (oh-EH-yah TSTOH loo)
I don't understand	Oel ke tslam (oh-EL keh TSLAHM)
Where is...?	Peseng lu...? (peh-SENG loo)
This is beautiful	Fì'u lor lu (FEE-oo LOHR loo)
I am happy	Oeru nitram (oh-EH-roo nee-TRAHM)
I am hungry	Oeru ohakx (oh-EH-roo oh-HAHK)
The forest is alive	Na'rìng kelku si (nah-RING KEL-koo see)
Fly with me	Tswayon oehu (tswah-YOHN oh-EH-hoo)
I love you	Nga yawne lu oer (NGAH YAW-neh loo oh-EHR)
You are my friend	Nga lu oeyä 'eylan (NGAH loo oh-EH-yah EH-lahn)
May Eywa be with you	Eywa ngahu (EH-wah ngah-HOO)
I will return	Oe tätxaw (oh-EH tah-TOW)
We are one	Awnga lu 'aw (aw-NGAH loo AW)
The sky people	Tawtute (taw-TOO-teh)
Be strong	Lu txur (loo TOOR)
Trust the bond	Tsaheylu nìngay (tsah-HEH-loo nee-NGAI)
Ride the ikran	Ikran makto (EEK-rahn MAHK-toh)
Clear skies	Taw kxanì (TOW kah-NEE)
I am learning Na'vi	Oe Na'vit leykatem (oh-EH NAH-veet leh-kah-TEM)
The People	Omatikaya (oh-mah-tee-KAH-yah)
Great mother	Eywa (EH-wah)
Tree of souls	Vitrautral (vee-trah-oo-TRAHL)
Until we meet again	Kìyevame (kee-yeh-VAH-meh)
I hear you	Oel ngati kameie (oh-EL ngah-TEE kah-MEY-eh)
