English	Turkish (Pronunciation)
Hello	Merhaba (mehr-HAH-bah)
Goodbye	Hoşçakal (hohsh-chah-KAHL)
Please	Lütfen (LOOT-fen)
Thank you	Teşekkür ederim (teh-shek-KOOR eh-deh-REEM)
Yes	Evet (eh-VET)
No	Hayır (HAH-yuhr)
Good morning	Günaydın (goo-ny-DUHN)
Good afternoon	İyi günler (ee-YEE goon-LEHR)
Good night	İyi geceler (ee-YEE geh-jeh-LEHR)
How are you?	Nasılsınız? (nah-suhl-suh-NUHZ)
I'm fine	İyiyim (ee-yee-YEEM)
Water	Su (SOO)
Food	Yemek (yeh-MEK)
Friend	Arkadaş (ar-kah-DAHSH)
Family	Aile (ah-ee-LEH)
Love	Aşk (AHSHK)
House	Ev (EV)
Work	İş (EESH)
Time	Zaman (zah-MAHN)
Today	Bugün (boo-GOON)
Tomorrow	Yarın (yah-RUHN)
Yesterday	Dün (DOON)
Money	Para (pah-RAH)
Help	Yardım (yar-DUHM)
Sorry	Özür dilerim (oh-ZOOR dee-leh-REEM)
Excuse me	Affedersiniz (ahf-feh-dehr-see-NEEZ)
Welcome	Hoş geldiniz (hohsh gel-dee-NEEZ)
One	Bir (BEER)
Two	İki (ee-KEE)
Three	Üç (OOCH)
Four	Dört (DOORT)
Five	Beş (BEHSH)
Ten	On (OHN)
Bathroom	Tuvalet (too-vah-LET)
Restaurant	Restoran (res-toh-RAHN)
Hotel	Otel (oh-TEL)
Airport	Havalimanı (hah-vah-lee-mah-NUH)
Train	Tren (TREN)
Bus	Otobüs (oh-toh-BOOS)
Taxi	Taksi (tahk-SEE)
Street	Sokak (soh-KAHK)
Left	Sol (SOHL)
Right	Sağ (SAH)
Straight	Düz (DOOZ)
Big	Büyük (boo-YOOK)
Small	Küçük (koo-CHOOK)
Hot	Sıcak (suh-JAHK)
Cold	Soğuk (soh-OOK)
Good	İyi (ee-YEE)
Bad	Kötü (koh-TOO)
