English	Japanese (Pronunciation)
Hello	こんにちは - Konnichiwa (kohn-nee-chee-WAH)
Goodbye	さようなら - Sayounara (sah-yoh-NAH-rah)
Please	お願いします - Onegaishimasu (oh-neh-guy-shee-MAHS)
Thank you	ありがとう - Arigatou (ah-ree-GAH-toh)
Yes	はい - Hai (HY)
No	いいえ - Iie (EE-eh)
Good morning	おはようございます - Ohayou gozaimasu (oh-hah-YOH goh-zai-MAHS)
Good afternoon	こんにちは - Konnichiwa (kohn-nee-chee-WAH)
Good night	おやすみなさい - Oyasuminasai (oh-yah-soo-mee-nah-SY)
How are you?	お元気ですか - Ogenki desu ka (oh-GEN-kee des-KAH)
I'm fine	元気です - Genki desu (GEN-kee des)
Water	水 - Mizu (mee-ZOO)
Food	食べ物 - Tabemono (tah-beh-MOH-noh)
Friend	友達 - Tomodachi (toh-moh-DAH-chee)
Family	家族 - Kazoku (kah-ZOH-koo)
Love	愛 - Ai (EYE)
House	家 - Ie (EE-eh)
Work	仕事 - Shigoto (shee-GOH-toh)
Time	時間 - Jikan (JEE-kahn)
Today	今日 - Kyou (KYOH)
Tomorrow	明日 - Ashita (ah-SHEE-tah)
Yesterday	昨日 - Kinou (kee-NOH)
Money	お金 - Okane (oh-KAH-neh)
Help	助けて - Tasukete (tah-soo-KEH-teh)
Sorry	ごめんなさい - Gomen nasai (goh-mehn nah-SY)
Excuse me	すみません - Sumimasen (soo-mee-mah-SEN)
Welcome	ようこそ - Youkoso (YOH-koh-soh)
One	一 - Ichi (EE-chee)
Two	二 - Ni (NEE)
Three	三 - San (SAHN)
Four	四 - Yon (YOHN)
Five	五 - Go (GOH)
Ten	十 - Juu (JOO)
Bathroom	トイレ - Toire (TOY-reh)
Restaurant	レストラン - Resutoran (reh-soo-TOH-rahn)
Hotel	ホテル - Hoteru (hoh-TEH-roo)
Airport	空港 - Kuukou (KOO-koh)
Train	電車 - Densha (DEN-shah)
Bus	バス - Basu (BAH-soo)
Taxi	タクシー - Takushii (tah-koo-SHEE)
Street	道 - Michi (MEE-chee)
Left	左 - Hidari (hee-DAH-ree)
Right	右 - Migi (MEE-gee)
Straight	まっすぐ - Massugu (mahs-SOO-goo)
Big	大きい - Ookii (oh-KEE)
Small	小さい - Chiisai (chee-SY)
Hot	暑い - Atsui (ah-TSOO-ee)
Cold	寒い - Samui (sah-MOO-ee)
Good	いい - Ii (EE)
Bad	悪い - Warui (wah-ROO-ee)
