English	Mandarin Chinese (Pronunciation)
Where is the bathroom?	洗手间在哪里？ - Xǐshǒujiān zài nǎlǐ? (shee-show-jee-en zai NAH-lee)
How much does this cost?	这个多少钱？ - Zhège duōshǎo qián? (juh-guh dwoh-shaow chee-EN)
I don't understand	我不明白 - Wǒ bù míngbái (woh boo meeng-BYE)
Can you help me?	你能帮我吗？ - Nǐ néng bāng wǒ ma? (nee nung bahng woh MAH)
I would like...	我想要... - Wǒ xiǎng yào... (woh shyahng YOW)
The check please	买单 - Mǎidān (my-DAHN)
Do you speak English?	你会说英语吗？ - Nǐ huì shuō Yīngyǔ ma? (nee hway shwoh yeeng-YOO mah)
I'm lost	我迷路了 - Wǒ mílù le (woh mee-LOO luh)
What time is it?	现在几点？ - Xiànzài jǐ diǎn? (shyen-zai jee dee-EN)
Nice to meet you	很高兴认识你 - Hěn gāoxìng rènshi nǐ (hun gow-SHEENG run-shih nee)
I need a doctor	我需要医生 - Wǒ xūyào yīshēng (woh shoo-yow ee-SHUNG)
Where is the train station?	火车站在哪里？ - Huǒchēzhàn zài nǎlǐ? (hwoh-chuh-jahn zai NAH-lee)
Can I have the menu?	菜单在哪里？ - Càidān zài nǎlǐ? (tsai-dahn zai NAH-lee)
I have a reservation	我有预订 - Wǒ yǒu yùdìng (woh yoh yoo-DEENG)
What do you recommend?	你推荐什么？ - Nǐ tuījiàn shénme? (nee tway-jyen SHUN-muh)
Is this seat taken?	这个座位有人吗？ - Zhège zuòwèi yǒu rén ma? (juh-guh zwoh-way yoh run MAH)
I'm allergic to...	我对...过敏 - Wǒ duì...guòmǐn (woh dway...gwoh-MEEN)
It was delicious	很好吃 - Hěn hǎochī (hun how-CHIH)
See you later	回头见 - Huítóu jiàn (hway-toh jee-EN)
Have a nice day	祝你有美好的一天 - Zhù nǐ yǒu měihǎo de yītiān (joo nee yoh may-how duh ee-tee-EN)
I'm just looking	我只是看看 - Wǒ zhǐshì kànkan (woh jih-shih kahn-kahn)
Could you repeat that?	请再说一遍 - Qǐng zài shuō yī biàn (cheeng zai shwoh ee bee-EN)
I'm here on vacation	我来度假 - Wǒ lái dùjià (woh lie doo-JYAH)
Where can I find...?	我在哪里能找到...？ - Wǒ zài nǎlǐ néng zhǎodào...? (woh zai NAH-lee nung jow-DOW)
This is an emergency	这是紧急情况 - Zhè shì jǐnjí qíngkuàng (juh shih jeen-JEE cheeng-kwahng)
Can I pay with card?	可以刷卡吗？ - Kěyǐ shuākǎ ma? (kuh-yee shwah-KAH mah)
I need a taxi	我需要出租车 - Wǒ xūyào chūzūchē (woh shoo-yow choo-zoo-CHUH)
How far is it?	有多远？ - Yǒu duō yuǎn? (yoh dwoh yoo-EN)
Turn left	向左转 - Xiàng zuǒ zhuǎn (shyahng ZWOH joo-EN)
Turn right	向右转 - Xiàng yòu zhuǎn (shyahng YOH joo-EN)
Go straight	直走 - Zhí zǒu (JIH ZOH)
Stop here please	请在这里停 - Qǐng zài zhèlǐ tíng (cheeng zai JUH-lee TEENG)
I don't eat meat	我不吃肉 - Wǒ bù chī ròu (woh boo chih ROH)
Is there WiFi?	有WiFi吗？ - Yǒu WiFi ma? (yoh WY-fy mah)
What is the password?	密码是什么？ - Mìmǎ shì shénme? (mee-MAH shih SHUN-muh)
Can I take a photo?	可以拍照吗？ - Kěyǐ pāizhào ma? (kuh-yee py-JOW mah)
Where is the exit?	出口在哪里？ - Chūkǒu zài nǎlǐ? (choo-KOH zai NAH-lee)
I need help	我需要帮助 - Wǒ xūyào bāngzhù (woh shoo-yow bahng-JOO)
Call the police	叫警察 - Jiào jǐngchá (jyow jeeng-CHAH)
I lost my passport	我丢了护照 - Wǒ diū le hùzhào (woh dyoh luh hoo-JOW)
Where is the pharmacy?	药店在哪里？ - Yàodiàn zài nǎlǐ? (yow-dee-EN zai NAH-lee)
I feel sick	我不舒服 - Wǒ bù shūfu (woh boo SHOO-foo)
Can you write it down?	你能写下来吗？ - Nǐ néng xiě xiàlái ma? (nee nung shyeh shyah-LIE mah)
Speak more slowly please	请说慢一点 - Qǐng shuō màn yīdiǎn (cheeng shwoh MAHN ee-dee-EN)
What does this mean?	这是什么意思？ - Zhè shì shénme yìsi? (juh shih SHUN-muh ee-suh)
I'm looking for...	我在找... - Wǒ zài zhǎo... (woh zai JOW)
Do you have...?	你有...吗？ - Nǐ yǒu...ma? (nee yoh...mah)
How do I get to...?	怎么去...？ - Zěnme qù...? (ZUN-muh choo)
Is it nearby?	近吗？ - Jìn ma? (JEEN mah)
I'll take this one	我要这个 - Wǒ yào zhège (woh YOW juh-guh)
