English	Klingon - Star Trek (Pronunciation)
Hello / What do you want?	nuqneH (nook-NEKH)
Goodbye / Success!	Qapla' (kahp-LAH)
Yes	HIja' (khee-JAH)
Yes (alternative)	HISlaH (khees-LAHKH)
No	ghobe' (ghoh-BEH)
Thank you (rare)	qatlho' (kaht-LHOH)
Good (well done)	maj (MAHJ)
Very good	majQa' (mahj-KAH)
Water	bIQ (BEEKH)
Food	Soj (SHOHJ)
Friend	jup (JOOP)
Family	qorDu' (kohr-DOO)
Love (romantic)	parmaq (pahr-MAHK)
Home	juH (JOOKH)
Work	vum (VOOM)
Today	DaHjaj (dahkh-JAHJ)
Tomorrow	wa'leS (wah-LESH)
Money	Huch (KHOOCH)
Help	QaH (KAHKH)
Honor	batlh (BAHT-lh)
Warrior	SuvwI' (soov-WEE)
Enemy	jagh (JAHGH)
Ship	Duj (DOOJ)
Stars	Hovmey (KHOHV-may)
Klingon	tlhIngan (tlhee-NGAHN)
