English	Hindi (Pronunciation)
Where is the bathroom?	बाथरूम कहाँ है? - Bathroom kahan hai? (BAHTH-room kah-HAHN HAY)
How much does this cost?	यह कितने का है? - Yeh kitne ka hai? (YEH kit-NEH kah HAY)
I don't understand	मुझे समझ नहीं आया - Mujhe samajh nahin aaya (MOO-jheh SAH-mahj nah-HEEN AH-yah)
Can you help me?	क्या आप मेरी मदद कर सकते हैं? - Kya aap meri madad kar sakte hain? (KYAH AHP meh-REE mah-DAHD kahr SAHK-teh HAYN)
I would like...	मुझे चाहिए... - Mujhe chahiye... (MOO-jheh CHAH-hee-yeh)
The check please	बिल दीजिए - Bill dijiye (BEEL dee-jee-YEH)
Do you speak English?	क्या आप अंग्रेज़ी बोलते हैं? - Kya aap angrezi bolte hain? (KYAH AHP ahn-GREH-zee BOHL-teh HAYN)
I'm lost	मैं खो गया हूँ - Main kho gaya hoon (MAYN KHOH gah-YAH hoon)
What time is it?	क्या समय हुआ है? - Kya samay hua hai? (KYAH sah-MAY hoo-AH HAY)
Nice to meet you	आपसे मिलकर खुशी हुई - Aapse milkar khushi hui (AHP-seh MIL-kahr KHOO-shee HOO-ee)
I need a doctor	मुझे डॉक्टर चाहिए - Mujhe doctor chahiye (MOO-jheh DAHK-tahr CHAH-hee-yeh)
Where is the train station?	रेलवे स्टेशन कहाँ है? - Railway station kahan hai? (RAIL-way STAY-shun kah-HAHN HAY)
Can I have the menu?	मेनू दिखाइए - Menu dikhaiye (MEH-noo dih-KHAH-ee-yeh)
I have a reservation	मेरा रिज़र्वेशन है - Mera reservation hai (MEH-rah reh-zer-VAY-shun HAY)
What do you recommend?	आप क्या सुझाव देंगे? - Aap kya sujhav denge? (AHP KYAH sooj-HAHV DEHN-geh)
Is this seat taken?	क्या यह सीट खाली है? - Kya yeh seat khali hai? (KYAH yeh SEET KHAH-lee HAY)
I'm allergic to...	मुझे...से एलर्जी है - Mujhe...se allergy hai (MOO-jheh...seh ah-LEHR-jee HAY)
It was delicious	बहुत स्वादिष्ट था - Bahut swadisht tha (bah-HOOT SWAH-deesht THAH)
See you later	फिर मिलेंगे - Phir milenge (PHEER mee-LEHN-geh)
Have a nice day	आपका दिन शुभ हो - Aapka din shubh ho (AHP-kah DEEN SHOOBH HOH)
I'm just looking	मैं बस देख रहा हूँ - Main bas dekh raha hoon (MAYN BAHS DEKH rah-HAH hoon)
Could you repeat that?	कृपया फिर से कहिए - Kripya phir se kahiye (KRIP-yah PHEER seh kah-hee-YEH)
I'm here on vacation	मैं छुट्टी पर आया हूँ - Main chutti par aaya hoon (MAYN CHOOT-tee pahr AH-yah hoon)
Where can I find...?	...कहाँ मिलेगा? - ...kahan milega? (kah-HAHN mee-LEH-gah)
This is an emergency	यह इमरजेंसी है - Yeh emergency hai (YEH ee-MER-jen-see HAY)
Can I pay with card?	क्या मैं कार्ड से पे कर सकता हूँ? - Kya main card se pay kar sakta hoon? (KYAH MAYN kahrd seh PAY kahr SAHK-tah hoon)
I need a taxi	मुझे टैक्सी चाहिए - Mujhe taxi chahiye (MOO-jheh TAHK-see CHAH-hee-yeh)
How far is it?	कितनी दूर है? - Kitni door hai? (kit-NEE DOOR HAY)
Turn left	बाएँ मुड़िए - Baayen mudiye (BAH-yen MOO-dee-yeh)
Turn right	दाएँ मुड़िए - Daayen mudiye (DAH-yen MOO-dee-yeh)
Go straight	सीधे जाइए - Seedhe jaiye (SEE-dheh JAH-ee-yeh)
Stop here please	यहाँ रुकिए - Yahan rukiye (yah-HAHN ROO-kee-yeh)
I don't eat meat	मैं मांस नहीं खाता - Main maans nahin khata (MAYN MAHNS nah-HEEN KHAH-tah)
Is there WiFi?	WiFi है क्या? - WiFi hai kya? (WY-fy HAY KYAH)
What is the password?	पासवर्ड क्या है? - Password kya hai? (PAHS-werd KYAH HAY)
Can I take a photo?	क्या मैं फ़ोटो ले सकता हूँ? - Kya main photo le sakta hoon? (KYAH MAYN FOH-toh LEH SAHK-tah hoon)
Where is the exit?	निकास कहाँ है? - Nikas kahan hai? (nee-KAHS kah-HAHN HAY)
I need help	मुझे मदद चाहिए - Mujhe madad chahiye (MOO-jheh mah-DAHD CHAH-hee-yeh)
Call the police	पुलिस को बुलाइए - Police ko bulaiye (poo-LEES koh boo-LAH-ee-yeh)
I lost my passport	मेरा पासपोर्ट खो गया - Mera passport kho gaya (MEH-rah PAHS-pohrt KHOH gah-YAH)
Where is the pharmacy?	दवाखाना कहाँ है? - Davakhana kahan hai? (dah-vah-KHAH-nah kah-HAHN HAY)
I feel sick	मेरी तबीयत ठीक नहीं है - Meri tabiyat theek nahin hai (MEH-ree tah-BEE-yaht THEEK nah-HEEN HAY)
Can you write it down?	कृपया लिख दीजिए - Kripya likh dijiye (KRIP-yah LIKH dee-jee-YEH)
Speak more slowly please	कृपया धीरे बोलिए - Kripya dheere boliye (KRIP-yah DHEE-reh BOH-lee-yeh)
What does this mean?	इसका मतलब क्या है? - Iska matlab kya hai? (EES-kah MAHT-lahb KYAH HAY)
I'm looking for...	मैं...ढूंढ रहा हूँ - Main...dhoondh raha hoon (MAYN...DHOONDH rah-HAH hoon)
Do you have...?	क्या आपके पास...है? - Kya aapke paas...hai? (KYAH AHP-keh PAHS...HAY)
How do I get to...?	...कैसे जाऊँ? - ...kaise jaun? (KAY-seh JAH-oon)
Is it nearby?	क्या यह पास में है? - Kya yeh paas mein hai? (KYAH YEH PAHS mehn HAY)
I'll take this one	मुझे यह चाहिए - Mujhe yeh chahiye (MOO-jheh YEH CHAH-hee-yeh)
