English	French (Pronunciation)
Hello	Bonjour (bohn-ZHOOR)
Goodbye	Au revoir (oh ruh-VWAHR)
Please	S'il vous plaît (seel voo PLEH)
Thank you	Merci (mehr-SEE)
Yes	Oui (WEE)
No	Non (NOHN)
Good morning	Bonjour (bohn-ZHOOR)
Good afternoon	Bon après-midi (bohn ah-preh-mee-DEE)
Good night	Bonne nuit (bun NWEE)
How are you?	Comment allez-vous? (koh-mahn tah-lay VOO)
I'm fine	Je vais bien (zhuh vay BYEHN)
Water	Eau (OH)
Food	Nourriture (noo-ree-TOOR)
Friend	Ami (ah-MEE)
Family	Famille (fah-MEE-yuh)
Love	Amour (ah-MOOR)
House	Maison (meh-ZOHN)
Work	Travail (trah-VY)
Time	Temps (TAHN)
Today	Aujourd'hui (oh-zhoor-DWEE)
Tomorrow	Demain (duh-MEHN)
Yesterday	Hier (ee-EHR)
Money	Argent (ahr-ZHAHN)
Help	Aide (EHD)
Sorry	Désolé (day-zoh-LAY)
Excuse me	Excusez-moi (ehk-skew-zay MWAH)
Welcome	Bienvenue (byehn-vuh-NEW)
One	Un (UHN)
Two	Deux (DUH)
Three	Trois (TWAH)
Four	Quatre (KAH-truh)
Five	Cinq (SANK)
Ten	Dix (DEESS)
Bathroom	Toilettes (twah-LET)
Restaurant	Restaurant (rehs-toh-RAHN)
Hotel	Hôtel (oh-TEL)
Airport	Aéroport (ah-ay-roh-POR)
Train	Train (TREHN)
Bus	Bus (BOOS)
Taxi	Taxi (tahk-SEE)
Street	Rue (ROO)
Left	Gauche (GOHSH)
Right	Droite (DRWAHT)
Straight	Tout droit (too DRWAH)
Big	Grand (GRAHN)
Small	Petit (puh-TEE)
Hot	Chaud (SHOH)
Cold	Froid (FRWAH)
Good	Bon (BOHN)
Bad	Mauvais (moh-VEH)
