English	Italian (Pronunciation)
Hello	Ciao (CHOW)
Goodbye	Arrivederci (ah-ree-veh-DEHR-chee)
Please	Per favore (pehr fah-VOH-reh)
Thank you	Grazie (GRAH-tsee-eh)
Yes	Sì (SEE)
No	No (NOH)
Good morning	Buongiorno (bwohn-JOR-noh)
Good afternoon	Buon pomeriggio (bwohn poh-meh-REE-joh)
Good night	Buonanotte (bwoh-nah-NOT-teh)
How are you?	Come stai? (KOH-meh STY)
I'm fine	Sto bene (stoh BEH-neh)
Water	Acqua (AH-kwah)
Food	Cibo (CHEE-boh)
Friend	Amico (ah-MEE-koh)
Family	Famiglia (fah-MEE-lyah)
Love	Amore (ah-MOH-reh)
House	Casa (KAH-sah)
Work	Lavoro (lah-VOH-roh)
Time	Tempo (TEHM-poh)
Today	Oggi (OH-jee)
Tomorrow	Domani (doh-MAH-nee)
Yesterday	Ieri (YEH-ree)
Money	Soldi (SOHL-dee)
Help	Aiuto (ah-YOO-toh)
Sorry	Mi dispiace (mee dee-SPYAH-cheh)
Excuse me	Scusi (SKOO-zee)
Welcome	Benvenuto (behn-veh-NOO-toh)
One	Uno (OO-noh)
Two	Due (DOO-eh)
Three	Tre (TREH)
Four	Quattro (KWAH-troh)
Five	Cinque (CHEEN-kweh)
Ten	Dieci (dee-EH-chee)
Bathroom	Bagno (BAHN-yoh)
Restaurant	Ristorante (ree-stoh-RAHN-teh)
Hotel	Hotel (oh-TEL)
Airport	Aeroporto (ah-eh-roh-POR-toh)
Train	Treno (TREH-noh)
Bus	Autobus (OW-toh-boos)
Taxi	Taxi (TAHK-see)
Street	Via (VEE-ah)
Left	Sinistra (see-NEE-strah)
Right	Destra (DEH-strah)
Straight	Dritto (DREET-toh)
Big	Grande (GRAHN-deh)
Small	Piccolo (PEE-koh-loh)
Hot	Caldo (KAHL-doh)
Cold	Freddo (FREH-doh)
Good	Buono (BWOH-noh)
Bad	Cattivo (kah-TEE-voh)
